leto,drzava,starostna skupina,spol,pogostost,odstotek
2019,Belgija,16-24,moški,1-2,36
2019,Belgija,16-24,moški,3-5,20
2019,Belgija,16-24,moški,6 ali več,9
2016,Belgija,16-24,ženske,1-2,28
2016,Belgija,16-24,ženske,3-5,22
2016,Belgija,16-24,ženske,6 ali več,4
2017,Belgija,16-24,ženske,1-2,26
2017,Belgija,16-24,ženske,3-5,20
2017,Belgija,16-24,ženske,6 ali več,8
2018,Belgija,16-24,ženske,1-2,30
2018,Belgija,16-24,ženske,3-5,20
2018,Belgija,16-24,ženske,6 ali več,6
2019,Belgija,16-24,ženske,1-2,31
2019,Belgija,16-24,ženske,3-5,24
2019,Belgija,16-24,ženske,6 ali več,11
2016,Belgija,25-54,moški,1-2,21
2016,Belgija,25-54,moški,3-5,22
2016,Belgija,25-54,moški,6 ali več,11
2017,Belgija,25-54,moški,1-2,23
2017,Belgija,25-54,moški,3-5,20
2017,Belgija,25-54,moški,6 ali več,13
2018,Belgija,25-54,moški,1-2,24
2018,Belgija,25-54,moški,3-5,19
2018,Belgija,25-54,moški,6 ali več,15
2019,Belgija,25-54,moški,1-2,25
2019,Belgija,25-54,moški,3-5,22
2019,Belgija,25-54,moški,6 ali več,16
2016,Belgija,25-54,ženske,1-2,26
2016,Belgija,25-54,ženske,3-5,20
2016,Belgija,25-54,ženske,6 ali več,9
2017,Belgija,25-54,ženske,1-2,25
2017,Belgija,25-54,ženske,3-5,20
2017,Belgija,25-54,ženske,6 ali več,11
2018,Belgija,25-54,ženske,1-2,28
2018,Belgija,25-54,ženske,3-5,19
2018,Belgija,25-54,ženske,6 ali več,13
2019,Belgija,25-54,ženske,1-2,25
2019,Belgija,25-54,ženske,3-5,23
2019,Belgija,25-54,ženske,6 ali več,15
2016,Belgija,55-74,moški,1-2,18
2016,Belgija,55-74,moški,3-5,10
2016,Belgija,55-74,moški,6 ali več,3
2017,Belgija,55-74,moški,1-2,15
2017,Belgija,55-74,moški,3-5,11
2017,Belgija,55-74,moški,6 ali več,5
2018,Belgija,55-74,moški,1-2,16
2018,Belgija,55-74,moški,3-5,14
2018,Belgija,55-74,moški,6 ali več,4
2019,Belgija,55-74,moški,1-2,20
2019,Belgija,55-74,moški,3-5,11
2019,Belgija,55-74,moški,6 ali več,6
2016,Belgija,55-74,ženske,1-2,14
2016,Belgija,55-74,ženske,3-5,6
2016,Belgija,55-74,ženske,6 ali več,1
2017,Belgija,55-74,ženske,1-2,14
2017,Belgija,55-74,ženske,3-5,7
2017,Belgija,55-74,ženske,6 ali več,2
2018,Belgija,55-74,ženske,1-2,14
2018,Belgija,55-74,ženske,3-5,7
2018,Belgija,55-74,ženske,6 ali več,3
2019,Belgija,55-74,ženske,1-2,17
2019,Belgija,55-74,ženske,3-5,8
2019,Belgija,55-74,ženske,6 ali več,3
2016,Bolgarija,skupaj,skupaj,1-2,7
2016,Bolgarija,skupaj,skupaj,3-5,2
2016,Bolgarija,skupaj,skupaj,6 ali več,1
2017,Bolgarija,skupaj,skupaj,1-2,7
2017,Bolgarija,skupaj,skupaj,3-5,3
2017,Bolgarija,skupaj,skupaj,6 ali več,1
2018,Bolgarija,skupaj,skupaj,1-2,8
2018,Bolgarija,skupaj,skupaj,3-5,4
2018,Bolgarija,skupaj,skupaj,6 ali več,1
2019,Bolgarija,skupaj,skupaj,1-2,9
2019,Bolgarija,skupaj,skupaj,3-5,4
2019,Bolgarija,skupaj,skupaj,6 ali več,1
2016,Bolgarija,16-24,skupaj,1-2,14
2016,Bolgarija,16-24,skupaj,3-5,5
2016,Bolgarija,16-24,skupaj,6 ali več,2
2017,Bolgarija,16-24,skupaj,1-2,15
