leto,drzava,starostna skupina,spol,prodajalec,odstotek
2017,Latvija,25-54,ženske,iz EU,45
2017,Latvija,25-54,ženske,iz drugih držav,39
2018,Latvija,25-54,ženske,domači,71
2018,Latvija,25-54,ženske,iz EU,43
2018,Latvija,25-54,ženske,iz drugih držav,44
2019,Latvija,25-54,ženske,domači,71
2019,Latvija,25-54,ženske,iz EU,45
2019,Latvija,25-54,ženske,iz drugih držav,51
2010,Latvija,55-74,moški,domači,71
2010,Latvija,55-74,moški,iz EU,44
2010,Latvija,55-74,moški,iz drugih držav,6
2011,Latvija,55-74,moški,domači,94
2011,Latvija,55-74,moški,iz EU,17
2011,Latvija,55-74,moški,iz drugih držav,17
2012,Latvija,55-74,moški,domači,82
2012,Latvija,55-74,moški,iz EU,44
2012,Latvija,55-74,moški,iz drugih držav,14
2013,Latvija,55-74,moški,domači,81
2013,Latvija,55-74,moški,iz EU,43
2013,Latvija,55-74,moški,iz drugih držav,9
2014,Latvija,55-74,moški,domači,80
2014,Latvija,55-74,moški,iz EU,43
2014,Latvija,55-74,moški,iz drugih držav,26
2015,Latvija,55-74,moški,domači,80
2015,Latvija,55-74,moški,iz EU,27
2015,Latvija,55-74,moški,iz drugih držav,26
2016,Latvija,55-74,moški,domači,88
2016,Latvija,55-74,moški,iz EU,29
2016,Latvija,55-74,moški,iz drugih držav,26
2017,Latvija,55-74,moški,domači,80
2017,Latvija,55-74,moški,iz EU,32
2017,Latvija,55-74,moški,iz drugih držav,22
2018,Latvija,55-74,moški,domači,78
2018,Latvija,55-74,moški,iz EU,29
2018,Latvija,55-74,moški,iz drugih držav,33
2019,Latvija,55-74,moški,domači,67
2019,Latvija,55-74,moški,iz EU,33
2019,Latvija,55-74,moški,iz drugih držav,44
2010,Latvija,55-74,ženske,domači,87
2010,Latvija,55-74,ženske,iz EU,44
2010,Latvija,55-74,ženske,iz drugih držav,0
2011,Latvija,55-74,ženske,domači,90
2011,Latvija,55-74,ženske,iz EU,24
2011,Latvija,55-74,ženske,iz drugih držav,2
2012,Latvija,55-74,ženske,domači,86
2012,Latvija,55-74,ženske,iz EU,30
2012,Latvija,55-74,ženske,iz drugih držav,11
2013,Latvija,55-74,ženske,domači,88
2013,Latvija,55-74,ženske,iz EU,29
2013,Latvija,55-74,ženske,iz drugih držav,6
2014,Latvija,55-74,ženske,domači,82
2014,Latvija,55-74,ženske,iz EU,33
2014,Latvija,55-74,ženske,iz drugih držav,11
2015,Latvija,55-74,ženske,domači,84
2015,Latvija,55-74,ženske,iz EU,30
2015,Latvija,55-74,ženske,iz drugih držav,15
2016,Latvija,55-74,ženske,domači,88
2016,Latvija,55-74,ženske,iz EU,27
2016,Latvija,55-74,ženske,iz drugih držav,18
2017,Latvija,55-74,ženske,domači,80
2017,Latvija,55-74,ženske,iz EU,29
2017,Latvija,55-74,ženske,iz drugih držav,21
2018,Latvija,55-74,ženske,domači,77
2018,Latvija,55-74,ženske,iz EU,29
2018,Latvija,55-74,ženske,iz drugih držav,24
2019,Latvija,55-74,ženske,domači,68
2019,Latvija,55-74,ženske,iz EU,31
2019,Latvija,55-74,ženske,iz drugih držav,30
2010,Litva,skupaj,skupaj,domači,80
2010,Litva,skupaj,skupaj,iz EU,30
2010,Litva,skupaj,skupaj,iz drugih držav,14
2011,Litva,skupaj,skupaj,domači,84
2011,Litva,skupaj,skupaj,iz EU,33
2011,Litva,skupaj,skupaj,iz drugih držav,10
2012,Litva,skupaj,skupaj,domači,89
2012,Litva,skupaj,skupaj,iz EU,31
2012,Litva,skupaj,skupaj,iz drugih držav,13
2013,Litva,skupaj,skupaj,domači,91
2013,Litva,skupaj,skupaj,iz EU,37
2013,Litva,skupaj,skupaj,iz drugih držav,14
2014,Litva,skupaj,skupaj,domači,89
2014,Litva,skupaj,skupaj,iz EU,42
2014,Litva,skupaj,skupaj,iz drugih držav,22
2015,Litva,skupaj,skupaj,domači,89
2015,Litva,skupaj,skupaj,iz EU,35
2015,Litva,skupaj,skupaj,iz drugih držav,18
2016,Litva,skupaj,skupaj,domači,88
2016,Litva,skupaj,skupaj,iz EU,35
2016,Litva,skupaj,skupaj,iz drugih držav,28
2017,Litva,skupaj,skupaj,domači,86
2017,Litva,skupaj,skupaj,iz EU,38
2017,Litva,skupaj,skupaj,iz drugih držav,30
2018,Litva,skupaj,skupaj,domači,87
2018,Litva,skupaj,skupaj,iz EU,43
2018,Litva,skupaj,skupaj,iz drugih držav,35
2019,Litva,skupaj,skupaj,domači,86
2019,Litva,skupaj,skupaj,iz EU,41
2019,Litva,skupaj,skupaj,iz drugih držav,37
2010,Litva,16-24,skupaj,domači,80
2010,Litva,16-24,skupaj,iz EU,31
2010,Litva,16-24,skupaj,iz drugih držav,12
2011,Litva,16-24,skupaj,domači,82
2011,Litva,16-24,skupaj,iz EU,34
2011,Litva,16-24,skupaj,iz drugih držav,10
2012,Litva,16-24,skupaj,domači,88
2012,Litva,16-24,skupaj,iz EU,35
2012,Litva,16-24,skupaj,iz drugih držav,12
2013,Litva,16-24,skupaj,domači,88
2013,Litva,16-24,skupaj,iz EU,41
2013,Litva,16-24,skupaj,iz drugih držav,15
2014,Litva,16-24,skupaj,domači,86
2014,Litva,16-24,skupaj,iz EU,40
2014,Litva,16-24,skupaj,iz drugih držav,21
2015,Litva,16-24,skupaj,domači,84
2015,Litva,16-24,skupaj,iz EU,34
2015,Litva,16-24,skupaj,iz drugih držav,21
2016,Litva,16-24,skupaj,domači,82
2016,Litva,16-24,skupaj,iz EU,32
2016,Litva,16-24,skupaj,iz drugih držav,31
2017,Litva,16-24,skupaj,domači,80
2017,Litva,16-24,skupaj,iz EU,35
2017,Litva,16-24,skupaj,iz drugih držav,35
2018,Litva,16-24,skupaj,domači,80
2018,Litva,16-24,skupaj,iz EU,42
2018,Litva,16-24,skupaj,iz drugih držav,41
2019,Litva,16-24,skupaj,domači,76
2019,Litva,16-24,skupaj,iz EU,46
2019,Litva,16-24,skupaj,iz drugih držav,48
2010,Litva,25-54,skupaj,domači,80
2010,Litva,25-54,skupaj,iz EU,31
2010,Litva,25-54,skupaj,iz drugih držav,15
2011,Litva,25-54,skupaj,domači,85
2011,Litva,25-54,skupaj,iz EU,33
2011,Litva,25-54,skupaj,iz drugih držav,10
2012,Litva,25-54,skupaj,domači,90
2012,Litva,25-54,skupaj,iz EU,29
2012,Litva,25-54,skupaj,iz drugih držav,14
2013,Litva,25-54,skupaj,domači,91
2013,Litva,25-54,skupaj,iz EU,37
2013,Litva,25-54,skupaj,iz drugih držav,15
2014,Litva,25-54,skupaj,domači,89
2014,Litva,25-54,skupaj,iz EU,44
2014,Litva,25-54,skupaj,iz drugih držav,23
2015,Litva,25-54,skupaj,domači,90
2015,Litva,25-54,skupaj,iz EU,35
2015,Litva,25-54,skupaj,iz drugih držav,18
2016,Litva,25-54,skupaj,domači,91
2016,Litva,25-54,skupaj,iz EU,38
2016,Litva,25-54,skupaj,iz drugih držav,29
2017,Litva,25-54,skupaj,domači,87
2017,Litva,25-54,skupaj,iz EU,40
2017,Litva,25-54,skupaj,iz drugih držav,31
2018,Litva,25-54,skupaj,domači,89
2018,Litva,25-54,skupaj,iz EU,46
2018,Litva,25-54,skupaj,iz drugih držav,36
2019,Litva,25-54,skupaj,domači,88
2019,Litva,25-54,skupaj,iz EU,43
2019,Litva,25-54,skupaj,iz drugih držav,39
2010,Litva,55-74,skupaj,domači,NA
2010,Litva,55-74,skupaj,iz EU,NA
2010,Litva,55-74,skupaj,iz drugih držav,NA
2011,Litva,55-74,skupaj,domači,87
2011,Litva,55-74,skupaj,iz EU,20
2011,Litva,55-74,skupaj,iz drugih držav,9
2012,Litva,55-74,skupaj,domači,91
2012,Litva,55-74,skupaj,iz EU,28
2012,Litva,55-74,skupaj,iz drugih držav,8
2013,Litva,55-74,skupaj,domači,93
2013,Litva,55-74,skupaj,iz EU,26
2013,Litva,55-74,skupaj,iz drugih držav,10
2014,Litva,55-74,skupaj,domači,92
2014,Litva,55-74,skupaj,iz EU,31
2014,Litva,55-74,skupaj,iz drugih držav,12
2015,Litva,55-74,skupaj,domači,92
2015,Litva,55-74,skupaj,iz EU,25
2015,Litva,55-74,skupaj,iz drugih držav,10
2016,Litva,55-74,skupaj,domači,89
2016,Litva,55-74,skupaj,iz EU,23
2016,Litva,55-74,skupaj,iz drugih držav,12
2017,Litva,55-74,skupaj,domači,91
2017,Litva,55-74,skupaj,iz EU,22
2017,Litva,55-74,skupaj,iz drugih držav,13
2018,Litva,55-74,skupaj,domači,89
2018,Litva,55-74,skupaj,iz EU,27
2018,Litva,55-74,skupaj,iz drugih držav,20
2019,Litva,55-74,skupaj,domači,90
2019,Litva,55-74,skupaj,iz EU,23
2019,Litva,55-74,skupaj,iz drugih držav,14
2010,Litva,16-24,moški,domači,79
2010,Litva,16-24,moški,iz EU,33
2010,Litva,16-24,moški,iz drugih držav,19
2011,Litva,16-24,moški,domači,77
2011,Litva,16-24,moški,iz EU,36
2011,Litva,16-24,moški,iz drugih držav,16
2012,Litva,16-24,moški,domači,86
2012,Litva,16-24,moški,iz EU,36
2012,Litva,16-24,moški,iz drugih držav,14
2013,Litva,16-24,moški,domači,88
2013,Litva,16-24,moški,iz EU,41
2013,Litva,16-24,moški,iz drugih držav,18
2014,Litva,16-24,moški,domači,85
2014,Litva,16-24,moški,iz EU,46
2014,Litva,16-24,moški,iz drugih držav,23
2015,Litva,16-24,moški,domači,81
2015,Litva,16-24,moški,iz EU,38
2015,Litva,16-24,moški,iz drugih držav,20
2016,Litva,16-24,moški,domači,78
2016,Litva,16-24,moški,iz EU,31
2016,Litva,16-24,moški,iz drugih držav,38
2017,Litva,16-24,moški,domači,79
2017,Litva,16-24,moški,iz EU,38
2017,Litva,16-24,moški,iz drugih držav,33
2018,Litva,16-24,moški,domači,79
2018,Litva,16-24,moški,iz EU,42
2018,Litva,16-24,moški,iz drugih držav,34
2019,Litva,16-24,moški,domači,79
2019,Litva,16-24,moški,iz EU,45
2019,Litva,16-24,moški,iz drugih držav,49
2010,Litva,16-24,ženske,domači,81
2010,Litva,16-24,ženske,iz EU,29
2010,Litva,16-24,ženske,iz drugih držav,8
2011,Litva,16-24,ženske,domači,87
2011,Litva,16-24,ženske,iz EU,33
2011,Litva,16-24,ženske,iz drugih držav,5
2012,Litva,16-24,ženske,domači,91
2012,Litva,16-24,ženske,iz EU,35
2012,Litva,16-24,ženske,iz drugih držav,10
2013,Litva,16-24,ženske,domači,88
2013,Litva,16-24,ženske,iz EU,40
2013,Litva,16-24,ženske,iz drugih držav,12
2014,Litva,16-24,ženske,domači,86
2014,Litva,16-24,ženske,iz EU,36
2014,Litva,16-24,ženske,iz drugih držav,20
2015,Litva,16-24,ženske,domači,86
2015,Litva,16-24,ženske,iz EU,32
2015,Litva,16-24,ženske,iz drugih držav,22
2016,Litva,16-24,ženske,domači,86
2016,Litva,16-24,ženske,iz EU,33
2016,Litva,16-24,ženske,iz drugih držav,23
2017,Litva,16-24,ženske,domači,81
2017,Litva,16-24,ženske,iz EU,33
2017,Litva,16-24,ženske,iz drugih držav,38
2018,Litva,16-24,ženske,domači,81
2018,Litva,16-24,ženske,iz EU,42
2018,Litva,16-24,ženske,iz drugih držav,47
2019,Litva,16-24,ženske,domači,73
2019,Litva,16-24,ženske,iz EU,46
2019,Litva,16-24,ženske,iz drugih držav,46
2010,Litva,25-54,moški,domači,77
2010,Litva,25-54,moški,iz EU,32
2010,Litva,25-54,moški,iz drugih držav,22
2011,Litva,25-54,moški,domači,85
2011,Litva,25-54,moški,iz EU,38
2011,Litva,25-54,moški,iz drugih držav,12
2012,Litva,25-54,moški,domači,87
2012,Litva,25-54,moški,iz EU,34
2012,Litva,25-54,moški,iz drugih držav,20
2013,Litva,25-54,moški,domači,92
2013,Litva,25-54,moški,iz EU,41
2013,Litva,25-54,moški,iz drugih držav,22
2014,Litva,25-54,moški,domači,86
2014,Litva,25-54,moški,iz EU,51
2014,Litva,25-54,moški,iz drugih držav,28
2015,Litva,25-54,moški,domači,89
2015,Litva,25-54,moški,iz EU,39
2015,Litva,25-54,moški,iz drugih držav,23
2016,Litva,25-54,moški,domači,89
2016,Litva,25-54,moški,iz EU,44
2016,Litva,25-54,moški,iz drugih držav,35
2017,Litva,25-54,moški,domači,86
2017,Litva,25-54,moški,iz EU,46
2017,Litva,25-54,moški,iz drugih držav,37
2018,Litva,25-54,moški,domači,87
2018,Litva,25-54,moški,iz EU,50
2018,Litva,25-54,moški,iz drugih držav,42
2019,Litva,25-54,moški,domači,86
2019,Litva,25-54,moški,iz EU,48
2019,Litva,25-54,moški,iz drugih držav,41
2010,Litva,25-54,ženske,domači,83
2010,Litva,25-54,ženske,iz EU,30
2010,Litva,25-54,ženske,iz drugih držav,9
2011,Litva,25-54,ženske,domači,85
2011,Litva,25-54,ženske,iz EU,30
2011,Litva,25-54,ženske,iz drugih držav,9
2012,Litva,25-54,ženske,domači,92
2012,Litva,25-54,ženske,iz EU,25
2012,Litva,25-54,ženske,iz drugih držav,8
2013,Litva,25-54,ženske,domači,91
2013,Litva,25-54,ženske,iz EU,34
2013,Litva,25-54,ženske,iz drugih držav,10
2014,Litva,25-54,ženske,domači,92
2014,Litva,25-54,ženske,iz EU,39
2014,Litva,25-54,ženske,iz drugih držav,19
2015,Litva,25-54,ženske,domači,91
2015,Litva,25-54,ženske,iz EU,33
2015,Litva,25-54,ženske,iz drugih držav,15
2016,Litva,25-54,ženske,domači,92
2016,Litva,25-54,ženske,iz EU,34
2016,Litva,25-54,ženske,iz drugih držav,24
2017,Litva,25-54,ženske,domači,87
2017,Litva,25-54,ženske,iz EU,36
2017,Litva,25-54,ženske,iz drugih držav,27
2018,Litva,25-54,ženske,domači,89
2018,Litva,25-54,ženske,iz EU,43
2018,Litva,25-54,ženske,iz drugih držav,32
2019,Litva,25-54,ženske,domači,89
2019,Litva,25-54,ženske,iz EU,38
2019,Litva,25-54,ženske,iz drugih držav,38
2010,Litva,55-74,moški,domači,NA
2010,Litva,55-74,moški,iz EU,NA
2010,Litva,55-74,moški,iz drugih držav,NA
2011,Litva,55-74,moški,domači,81
2011,Litva,55-74,moški,iz EU,24
2011,Litva,55-74,moški,iz drugih držav,15
2012,Litva,55-74,moški,domači,91
2012,Litva,55-74,moški,iz EU,35
2012,Litva,55-74,moški,iz drugih držav,12
2013,Litva,55-74,moški,domači,88
2013,Litva,55-74,moški,iz EU,37
2013,Litva,55-74,moški,iz drugih držav,14
2014,Litva,55-74,moški,domači,88
2014,Litva,55-74,moški,iz EU,42
2014,Litva,55-74,moški,iz drugih držav,20
2015,Litva,55-74,moški,domači,88
2015,Litva,55-74,moški,iz EU,32
2015,Litva,55-74,moški,iz drugih držav,10
2016,Litva,55-74,moški,domači,85
2016,Litva,55-74,moški,iz EU,32
2016,Litva,55-74,moški,iz drugih držav,15
2017,Litva,55-74,moški,domači,88
2017,Litva,55-74,moški,iz EU,24
2017,Litva,55-74,moški,iz drugih držav,16
2018,Litva,55-74,moški,domači,86
2018,Litva,55-74,moški,iz EU,29
2018,Litva,55-74,moški,iz drugih držav,27
2019,Litva,55-74,moški,domači,91
2019,Litva,55-74,moški,iz EU,26
2019,Litva,55-74,moški,iz drugih držav,18
2010,Litva,55-74,ženske,domači,NA
2010,Litva,55-74,ženske,iz EU,NA
2010,Litva,55-74,ženske,iz drugih držav,NA
2011,Litva,55-74,ženske,domači,92
2011,Litva,55-74,ženske,iz EU,16
2011,Litva,55-74,ženske,iz drugih držav,4
2012,Litva,55-74,ženske,domači,91
2012,Litva,55-74,ženske,iz EU,23
2012,Litva,55-74,ženske,iz drugih držav,5
2013,Litva,55-74,ženske,domači,97
2013,Litva,55-74,ženske,iz EU,17
2013,Litva,55-74,ženske,iz drugih držav,6
2014,Litva,55-74,ženske,domači,94
2014,Litva,55-74,ženske,iz EU,25
2014,Litva,55-74,ženske,iz drugih držav,8
2015,Litva,55-74,ženske,domači,95
2015,Litva,55-74,ženske,iz EU,19
2015,Litva,55-74,ženske,iz drugih držav,10
2016,Litva,55-74,ženske,domači,91
2016,Litva,55-74,ženske,iz EU,17
2016,Litva,55-74,ženske,iz drugih držav,10
2017,Litva,55-74,ženske,domači,93
2017,Litva,55-74,ženske,iz EU,21
2017,Litva,55-74,ženske,iz drugih držav,11
2018,Litva,55-74,ženske,domači,90
2018,Litva,55-74,ženske,iz EU,25
2018,Litva,55-74,ženske,iz drugih držav,15
2019,Litva,55-74,ženske,domači,90
2019,Litva,55-74,ženske,iz EU,20
2019,Litva,55-74,ženske,iz drugih držav,11
2010,Luksemburg,skupaj,skupaj,domači,42
2010,Luksemburg,skupaj,skupaj,iz EU,89
2010,Luksemburg,skupaj,skupaj,iz drugih držav,20
2011,Luksemburg,skupaj,skupaj,domači,32
2011,Luksemburg,skupaj,skupaj,iz EU,87
2011,Luksemburg,skupaj,skupaj,iz drugih držav,22
2012,Luksemburg,skupaj,skupaj,domači,33
2012,Luksemburg,skupaj,skupaj,iz EU,88
2012,Luksemburg,skupaj,skupaj,iz drugih držav,22
2013,Luksemburg,skupaj,skupaj,domači,33
2013,Luksemburg,skupaj,skupaj,iz EU,91
2013,Luksemburg,skupaj,skupaj,iz drugih držav,24
2014,Luksemburg,skupaj,skupaj,domači,28
2014,Luksemburg,skupaj,skupaj,iz EU,88
2014,Luksemburg,skupaj,skupaj,iz drugih držav,24
2015,Luksemburg,skupaj,skupaj,domači,28
2015,Luksemburg,skupaj,skupaj,iz EU,88
2015,Luksemburg,skupaj,skupaj,iz drugih držav,24
2016,Luksemburg,skupaj,skupaj,domači,32
2016,Luksemburg,skupaj,skupaj,iz EU,90
2016,Luksemburg,skupaj,skupaj,iz drugih držav,28
2017,Luksemburg,skupaj,skupaj,domači,66
2017,Luksemburg,skupaj,skupaj,iz EU,96
2017,Luksemburg,skupaj,skupaj,iz drugih držav,42
2018,Luksemburg,skupaj,skupaj,domači,31
2018,Luksemburg,skupaj,skupaj,iz EU,82
2018,Luksemburg,skupaj,skupaj,iz drugih držav,33
2019,Luksemburg,skupaj,skupaj,domači,30
2019,Luksemburg,skupaj,skupaj,iz EU,80
2019,Luksemburg,skupaj,skupaj,iz drugih držav,33
2010,Luksemburg,16-24,skupaj,domači,34
2010,Luksemburg,16-24,skupaj,iz EU,82
2010,Luksemburg,16-24,skupaj,iz drugih držav,23
2011,Luksemburg,16-24,skupaj,domači,17
2011,Luksemburg,16-24,skupaj,iz EU,77
2011,Luksemburg,16-24,skupaj,iz drugih držav,25
2012,Luksemburg,16-24,skupaj,domači,29
2012,Luksemburg,16-24,skupaj,iz EU,82
2012,Luksemburg,16-24,skupaj,iz drugih držav,26
2013,Luksemburg,16-24,skupaj,domači,31
2013,Luksemburg,16-24,skupaj,iz EU,87
2013,Luksemburg,16-24,skupaj,iz drugih držav,29
2014,Luksemburg,16-24,skupaj,domači,20
2014,Luksemburg,16-24,skupaj,iz EU,80
2014,Luksemburg,16-24,skupaj,iz drugih držav,35
2015,Luksemburg,16-24,skupaj,domači,23
2015,Luksemburg,16-24,skupaj,iz EU,86
2015,Luksemburg,16-24,skupaj,iz drugih držav,24
2016,Luksemburg,16-24,skupaj,domači,25
2016,Luksemburg,16-24,skupaj,iz EU,78
2016,Luksemburg,16-24,skupaj,iz drugih držav,39
2017,Luksemburg,16-24,skupaj,domači,56
2017,Luksemburg,16-24,skupaj,iz EU,91
2017,Luksemburg,16-24,skupaj,iz drugih držav,55
2018,Luksemburg,16-24,skupaj,domači,20
2018,Luksemburg,16-24,skupaj,iz EU,69
2018,Luksemburg,16-24,skupaj,iz drugih držav,47
2019,Luksemburg,16-24,skupaj,domači,32
2019,Luksemburg,16-24,skupaj,iz EU,66
2019,Luksemburg,16-24,skupaj,iz drugih držav,37
2010,Luksemburg,25-54,skupaj,domači,43
2010,Luksemburg,25-54,skupaj,iz EU,90
2010,Luksemburg,25-54,skupaj,iz drugih držav,20
2011,Luksemburg,25-54,skupaj,domači,34
2011,Luksemburg,25-54,skupaj,iz EU,88
2011,Luksemburg,25-54,skupaj,iz drugih držav,22
2012,Luksemburg,25-54,skupaj,domači,36
2012,Luksemburg,25-54,skupaj,iz EU,90
2012,Luksemburg,25-54,skupaj,iz drugih držav,21
2013,Luksemburg,25-54,skupaj,domači,33
2013,Luksemburg,25-54,skupaj,iz EU,92
2013,Luksemburg,25-54,skupaj,iz drugih držav,24
2014,Luksemburg,25-54,skupaj,domači,31
2014,Luksemburg,25-54,skupaj,iz EU,89
2014,Luksemburg,25-54,skupaj,iz drugih držav,25
2015,Luksemburg,25-54,skupaj,domači,29
2015,Luksemburg,25-54,skupaj,iz EU,89
2015,Luksemburg,25-54,skupaj,iz drugih držav,25
2016,Luksemburg,25-54,skupaj,domači,31
2016,Luksemburg,25-54,skupaj,iz EU,93
2016,Luksemburg,25-54,skupaj,iz drugih držav,27
2017,Luksemburg,25-54,skupaj,domači,68
2017,Luksemburg,25-54,skupaj,iz EU,98
2017,Luksemburg,25-54,skupaj,iz drugih držav,42
2018,Luksemburg,25-54,skupaj,domači,33
2018,Luksemburg,25-54,skupaj,iz EU,85
2018,Luksemburg,25-54,skupaj,iz drugih držav,34
2019,Luksemburg,25-54,skupaj,domači,31
2019,Luksemburg,25-54,skupaj,iz EU,81
2019,Luksemburg,25-54,skupaj,iz drugih držav,35
2010,Luksemburg,55-74,skupaj,domači,42
2010,Luksemburg,55-74,skupaj,iz EU,87
2010,Luksemburg,55-74,skupaj,iz drugih držav,16
2011,Luksemburg,55-74,skupaj,domači,36
2011,Luksemburg,55-74,skupaj,iz EU,89
2011,Luksemburg,55-74,skupaj,iz drugih držav,20
2012,Luksemburg,55-74,skupaj,domači,24
2012,Luksemburg,55-74,skupaj,iz EU,87
2012,Luksemburg,55-74,skupaj,iz drugih držav,22
2013,Luksemburg,55-74,skupaj,domači,34
2013,Luksemburg,55-74,skupaj,iz EU,90
2013,Luksemburg,55-74,skupaj,iz drugih držav,19
2014,Luksemburg,55-74,skupaj,domači,27
2014,Luksemburg,55-74,skupaj,iz EU,92
2014,Luksemburg,55-74,skupaj,iz drugih držav,15
2015,Luksemburg,55-74,skupaj,domači,34
2015,Luksemburg,55-74,skupaj,iz EU,86
2015,Luksemburg,55-74,skupaj,iz drugih držav,20
2016,Luksemburg,55-74,skupaj,domači,37
2016,Luksemburg,55-74,skupaj,iz EU,87
2016,Luksemburg,55-74,skupaj,iz drugih držav,25
2017,Luksemburg,55-74,skupaj,domači,66
2017,Luksemburg,55-74,skupaj,iz EU,96
2017,Luksemburg,55-74,skupaj,iz drugih držav,36
2018,Luksemburg,55-74,skupaj,domači,31
2018,Luksemburg,55-74,skupaj,iz EU,82
2018,Luksemburg,55-74,skupaj,iz drugih držav,21
2019,Luksemburg,55-74,skupaj,domači,26
2019,Luksemburg,55-74,skupaj,iz EU,85
2019,Luksemburg,55-74,skupaj,iz drugih držav,23
2010,Luksemburg,16-24,moški,domači,34
2010,Luksemburg,16-24,moški,iz EU,79
2010,Luksemburg,16-24,moški,iz drugih držav,27
2011,Luksemburg,16-24,moški,domači,11
2011,Luksemburg,16-24,moški,iz EU,82
2011,Luksemburg,16-24,moški,iz drugih držav,27
2012,Luksemburg,16-24,moški,domači,32
2012,Luksemburg,16-24,moški,iz EU,81
2012,Luksemburg,16-24,moški,iz drugih držav,33
2013,Luksemburg,16-24,moški,domači,30
2013,Luksemburg,16-24,moški,iz EU,89
2013,Luksemburg,16-24,moški,iz drugih držav,31
2014,Luksemburg,16-24,moški,domači,21
2014,Luksemburg,16-24,moški,iz EU,78
2014,Luksemburg,16-24,moški,iz drugih držav,39
2015,Luksemburg,16-24,moški,domači,22
2015,Luksemburg,16-24,moški,iz EU,83
2015,Luksemburg,16-24,moški,iz drugih držav,18
2016,Luksemburg,16-24,moški,domači,24
2016,Luksemburg,16-24,moški,iz EU,80
2016,Luksemburg,16-24,moški,iz drugih držav,40
2017,Luksemburg,16-24,moški,domači,47
2017,Luksemburg,16-24,moški,iz EU,94
2017,Luksemburg,16-24,moški,iz drugih držav,53
2018,Luksemburg,16-24,moški,domači,21
2018,Luksemburg,16-24,moški,iz EU,69
2018,Luksemburg,16-24,moški,iz drugih držav,41
2019,Luksemburg,16-24,moški,domači,38
2019,Luksemburg,16-24,moški,iz EU,62
2019,Luksemburg,16-24,moški,iz drugih držav,39
2010,Luksemburg,16-24,ženske,domači,34
2010,Luksemburg,16-24,ženske,iz EU,87
2010,Luksemburg,16-24,ženske,iz drugih držav,17
2011,Luksemburg,16-24,ženske,domači,24
2011,Luksemburg,16-24,ženske,iz EU,72
2011,Luksemburg,16-24,ženske,iz drugih držav,24
2012,Luksemburg,16-24,ženske,domači,26
2012,Luksemburg,16-24,ženske,iz EU,84
2012,Luksemburg,16-24,ženske,iz drugih držav,19
2013,Luksemburg,16-24,ženske,domači,32
2013,Luksemburg,16-24,ženske,iz EU,85
2013,Luksemburg,16-24,ženske,iz drugih držav,27
2014,Luksemburg,16-24,ženske,domači,20
2014,Luksemburg,16-24,ženske,iz EU,83
2014,Luksemburg,16-24,ženske,iz drugih držav,30
2015,Luksemburg,16-24,ženske,domači,24
2015,Luksemburg,16-24,ženske,iz EU,89
2015,Luksemburg,16-24,ženske,iz drugih držav,32
2016,Luksemburg,16-24,ženske,domači,26
2016,Luksemburg,16-24,ženske,iz EU,76
2016,Luksemburg,16-24,ženske,iz drugih držav,38
2017,Luksemburg,16-24,ženske,domači,65
2017,Luksemburg,16-24,ženske,iz EU,88
2017,Luksemburg,16-24,ženske,iz drugih držav,56
2018,Luksemburg,16-24,ženske,domači,19
2018,Luksemburg,16-24,ženske,iz EU,68
2018,Luksemburg,16-24,ženske,iz drugih držav,54
2019,Luksemburg,16-24,ženske,domači,26
2019,Luksemburg,16-24,ženske,iz EU,70
2019,Luksemburg,16-24,ženske,iz drugih držav,36
2010,Luksemburg,25-54,moški,domači,45
2010,Luksemburg,25-54,moški,iz EU,89
2010,Luksemburg,25-54,moški,iz drugih držav,25
2011,Luksemburg,25-54,moški,domači,37
2011,Luksemburg,25-54,moški,iz EU,86
2011,Luksemburg,25-54,moški,iz drugih držav,30
2012,Luksemburg,25-54,moški,domači,36
2012,Luksemburg,25-54,moški,iz EU,88
2012,Luksemburg,25-54,moški,iz drugih držav,24
2013,Luksemburg,25-54,moški,domači,33
2013,Luksemburg,25-54,moški,iz EU,94
2013,Luksemburg,25-54,moški,iz drugih držav,27
2014,Luksemburg,25-54,moški,domači,30
2014,Luksemburg,25-54,moški,iz EU,88
2014,Luksemburg,25-54,moški,iz drugih držav,29
2015,Luksemburg,25-54,moški,domači,29
2015,Luksemburg,25-54,moški,iz EU,90
2015,Luksemburg,25-54,moški,iz drugih držav,27
2016,Luksemburg,25-54,moški,domači,35
2016,Luksemburg,25-54,moški,iz EU,93
2016,Luksemburg,25-54,moški,iz drugih držav,30
2017,Luksemburg,25-54,moški,domači,64
2017,Luksemburg,25-54,moški,iz EU,98
2017,Luksemburg,25-54,moški,iz drugih držav,46
2018,Luksemburg,25-54,moški,domači,36
2018,Luksemburg,25-54,moški,iz EU,85
2018,Luksemburg,25-54,moški,iz drugih držav,39
2019,Luksemburg,25-54,moški,domači,30
2019,Luksemburg,25-54,moški,iz EU,83
2019,Luksemburg,25-54,moški,iz drugih držav,37
2010,Luksemburg,25-54,ženske,domači,41
2010,Luksemburg,25-54,ženske,iz EU,92
2010,Luksemburg,25-54,ženske,iz drugih držav,15
2011,Luksemburg,25-54,ženske,domači,30
2011,Luksemburg,25-54,ženske,iz EU,91
2011,Luksemburg,25-54,ženske,iz drugih držav,14
2012,Luksemburg,25-54,ženske,domači,35
2012,Luksemburg,25-54,ženske,iz EU,92
2012,Luksemburg,25-54,ženske,iz drugih držav,18
