leto,drzava,starostna skupina,spol,prodajalec,odstotek
2017,EU28,55-74,moški,iz EU,29
2017,EU28,55-74,moški,iz drugih držav,18
2018,EU28,55-74,moški,domači,89
2018,EU28,55-74,moški,iz EU,32
2018,EU28,55-74,moški,iz drugih držav,21
2019,EU28,55-74,moški,domači,88
2019,EU28,55-74,moški,iz EU,31
2019,EU28,55-74,moški,iz drugih držav,22
2010,EU28,55-74,ženske,domači,90
2010,EU28,55-74,ženske,iz EU,14
2010,EU28,55-74,ženske,iz drugih držav,7
2011,EU28,55-74,ženske,domači,93
2011,EU28,55-74,ženske,iz EU,14
2011,EU28,55-74,ženske,iz drugih držav,7
2012,EU28,55-74,ženske,domači,94
2012,EU28,55-74,ženske,iz EU,14
2012,EU28,55-74,ženske,iz drugih držav,5
2013,EU28,55-74,ženske,domači,90
2013,EU28,55-74,ženske,iz EU,16
2013,EU28,55-74,ženske,iz drugih držav,7
2014,EU28,55-74,ženske,domači,90
2014,EU28,55-74,ženske,iz EU,16
2014,EU28,55-74,ženske,iz drugih držav,8
2015,EU28,55-74,ženske,domači,92
2015,EU28,55-74,ženske,iz EU,18
2015,EU28,55-74,ženske,iz drugih držav,9
2016,EU28,55-74,ženske,domači,91
2016,EU28,55-74,ženske,iz EU,20
2016,EU28,55-74,ženske,iz drugih držav,10
2017,EU28,55-74,ženske,domači,90
2017,EU28,55-74,ženske,iz EU,20
2017,EU28,55-74,ženske,iz drugih držav,11
2018,EU28,55-74,ženske,domači,90
2018,EU28,55-74,ženske,iz EU,22
2018,EU28,55-74,ženske,iz drugih držav,14
2019,EU28,55-74,ženske,domači,88
2019,EU28,55-74,ženske,iz EU,21
2019,EU28,55-74,ženske,iz drugih držav,14
2010,Belgija,skupaj,skupaj,domači,81
2010,Belgija,skupaj,skupaj,iz EU,51
2010,Belgija,skupaj,skupaj,iz drugih držav,11
2011,Belgija,skupaj,skupaj,domači,77
2011,Belgija,skupaj,skupaj,iz EU,54
2011,Belgija,skupaj,skupaj,iz drugih držav,11
2012,Belgija,skupaj,skupaj,domači,77
2012,Belgija,skupaj,skupaj,iz EU,56
2012,Belgija,skupaj,skupaj,iz drugih držav,13
