leto,drzava,starostna skupina,spol,zadnji e-nakup,odstotek
2010,Malta,25-54,moški,v zadnjih 3. mesecih,42
2010,Malta,25-54,ženske,v zadnjih 3. mesecih,31
2010,Malta,55-74,moški,v zadnjih 3. mesecih,7
2010,Malta,55-74,ženske,v zadnjih 3. mesecih,6
2010,Nizozemska,skupaj,skupaj,v zadnjih 3. mesecih,52
2010,Nizozemska,16-24,skupaj,v zadnjih 3. mesecih,53
2010,Nizozemska,25-54,skupaj,v zadnjih 3. mesecih,63
2010,Nizozemska,55-74,skupaj,v zadnjih 3. mesecih,31
2010,Nizozemska,16-24,moški,v zadnjih 3. mesecih,55
2010,Nizozemska,16-24,ženske,v zadnjih 3. mesecih,52
2010,Nizozemska,25-54,moški,v zadnjih 3. mesecih,66
2010,Nizozemska,25-54,ženske,v zadnjih 3. mesecih,60
2010,Nizozemska,55-74,moški,v zadnjih 3. mesecih,36
2010,Nizozemska,55-74,ženske,v zadnjih 3. mesecih,26
2010,Avstrija,skupaj,skupaj,v zadnjih 3. mesecih,32
2010,Avstrija,16-24,skupaj,v zadnjih 3. mesecih,36
2010,Avstrija,25-54,skupaj,v zadnjih 3. mesecih,39
2010,Avstrija,55-74,skupaj,v zadnjih 3. mesecih,14
2010,Avstrija,16-24,moški,v zadnjih 3. mesecih,35
2010,Avstrija,16-24,ženske,v zadnjih 3. mesecih,37
2010,Avstrija,25-54,moški,v zadnjih 3. mesecih,42
2010,Avstrija,25-54,ženske,v zadnjih 3. mesecih,36
2010,Avstrija,55-74,moški,v zadnjih 3. mesecih,19
2010,Avstrija,55-74,ženske,v zadnjih 3. mesecih,9
2010,Poljska,skupaj,skupaj,v zadnjih 3. mesecih,20
2010,Poljska,16-24,skupaj,v zadnjih 3. mesecih,34
2010,Poljska,25-54,skupaj,v zadnjih 3. mesecih,25
2010,Poljska,55-74,skupaj,v zadnjih 3. mesecih,4
2010,Poljska,16-24,moški,v zadnjih 3. mesecih,36
2010,Poljska,16-24,ženske,v zadnjih 3. mesecih,31
2010,Poljska,25-54,moški,v zadnjih 3. mesecih,26
2010,Poljska,25-54,ženske,v zadnjih 3. mesecih,24
2010,Poljska,55-74,moški,v zadnjih 3. mesecih,6
2010,Poljska,55-74,ženske,v zadnjih 3. mesecih,3
2010,Portugalska,skupaj,skupaj,v zadnjih 3. mesecih,10
2010,Portugalska,16-24,skupaj,v zadnjih 3. mesecih,16
2010,Portugalska,25-54,skupaj,v zadnjih 3. mesecih,11
2010,Portugalska,55-74,skupaj,v zadnjih 3. mesecih,3
2010,Portugalska,16-24,moški,v zadnjih 3. mesecih,20
2010,Portugalska,16-24,ženske,v zadnjih 3. mesecih,12
2010,Portugalska,25-54,moški,v zadnjih 3. mesecih,12
2010,Portugalska,25-54,ženske,v zadnjih 3. mesecih,11
2010,Portugalska,55-74,moški,v zadnjih 3. mesecih,5
2010,Portugalska,55-74,ženske,v zadnjih 3. mesecih,NA
2010,Romunija,skupaj,skupaj,v zadnjih 3. mesecih,2
2010,Romunija,16-24,skupaj,v zadnjih 3. mesecih,4
2010,Romunija,25-54,skupaj,v zadnjih 3. mesecih,3
2010,Romunija,55-74,skupaj,v zadnjih 3. mesecih,NA
2010,Romunija,16-24,moški,v zadnjih 3. mesecih,3
2010,Romunija,16-24,ženske,v zadnjih 3. mesecih,4
2010,Romunija,25-54,moški,v zadnjih 3. mesecih,3
2010,Romunija,25-54,ženske,v zadnjih 3. mesecih,3
2010,Romunija,55-74,moški,v zadnjih 3. mesecih,0
2010,Romunija,55-74,ženske,v zadnjih 3. mesecih,1
2010,Slovenija,skupaj,skupaj,v zadnjih 3. mesecih,17
2010,Slovenija,16-24,skupaj,v zadnjih 3. mesecih,20
2010,Slovenija,25-54,skupaj,v zadnjih 3. mesecih,21
2010,Slovenija,55-74,skupaj,v zadnjih 3. mesecih,5
2010,Slovenija,16-24,moški,v zadnjih 3. mesecih,20
2010,Slovenija,16-24,ženske,v zadnjih 3. mesecih,21
2010,Slovenija,25-54,moški,v zadnjih 3. mesecih,20
2010,Slovenija,25-54,ženske,v zadnjih 3. mesecih,23
2010,Slovenija,55-74,moški,v zadnjih 3. mesecih,8
2010,Slovenija,55-74,ženske,v zadnjih 3. mesecih,3
2010,Slovaška,skupaj,skupaj,v zadnjih 3. mesecih,19
2010,Slovaška,16-24,skupaj,v zadnjih 3. mesecih,24
2010,Slovaška,25-54,skupaj,v zadnjih 3. mesecih,23
2010,Slovaška,55-74,skupaj,v zadnjih 3. mesecih,5
2010,Slovaška,16-24,moški,v zadnjih 3. mesecih,26
2010,Slovaška,16-24,ženske,v zadnjih 3. mesecih,21
2010,Slovaška,25-54,moški,v zadnjih 3. mesecih,23
2010,Slovaška,25-54,ženske,v zadnjih 3. mesecih,23
2010,Slovaška,55-74,moški,v zadnjih 3. mesecih,6
2010,Slovaška,55-74,ženske,v zadnjih 3. mesecih,4
2010,Finska,skupaj,skupaj,v zadnjih 3. mesecih,41
2010,Finska,16-24,skupaj,v zadnjih 3. mesecih,45
2010,Finska,25-54,skupaj,v zadnjih 3. mesecih,54
2010,Finska,55-74,skupaj,v zadnjih 3. mesecih,19
2010,Finska,16-24,moški,v zadnjih 3. mesecih,46
2010,Finska,16-24,ženske,v zadnjih 3. mesecih,44
2010,Finska,25-54,moški,v zadnjih 3. mesecih,51
2010,Finska,25-54,ženske,v zadnjih 3. mesecih,57
2010,Finska,55-74,moški,v zadnjih 3. mesecih,20
2010,Finska,55-74,ženske,v zadnjih 3. mesecih,18
2010,Švedska,skupaj,skupaj,v zadnjih 3. mesecih,50
2010,Švedska,16-24,skupaj,v zadnjih 3. mesecih,50
2010,Švedska,25-54,skupaj,v zadnjih 3. mesecih,60
2010,Švedska,55-74,skupaj,v zadnjih 3. mesecih,32
2010,Švedska,16-24,moški,v zadnjih 3. mesecih,50
2010,Švedska,16-24,ženske,v zadnjih 3. mesecih,50
2010,Švedska,25-54,moški,v zadnjih 3. mesecih,60
2010,Švedska,25-54,ženske,v zadnjih 3. mesecih,61
2010,Švedska,55-74,moški,v zadnjih 3. mesecih,35
2010,Švedska,55-74,ženske,v zadnjih 3. mesecih,30
2010,EU28,skupaj,skupaj,med 3. in 7. meseci,9
2010,EU28,16-24,skupaj,med 3. in 7. meseci,13
2010,EU28,25-54,skupaj,med 3. in 7. meseci,10
2010,EU28,55-74,skupaj,med 3. in 7. meseci,5
2010,EU28,16-24,moški,med 3. in 7. meseci,14
2010,EU28,16-24,ženske,med 3. in 7. meseci,12
2010,EU28,25-54,moški,med 3. in 7. meseci,10
2010,EU28,25-54,ženske,med 3. in 7. meseci,10
2010,EU28,55-74,moški,med 3. in 7. meseci,6
2010,EU28,55-74,ženske,med 3. in 7. meseci,4
2010,Belgija,skupaj,skupaj,med 3. in 7. meseci,12
2010,Belgija,16-24,skupaj,med 3. in 7. meseci,18
2010,Belgija,25-54,skupaj,med 3. in 7. meseci,12
2010,Belgija,55-74,skupaj,med 3. in 7. meseci,7
2010,Belgija,16-24,moški,med 3. in 7. meseci,20
2010,Belgija,16-24,ženske,med 3. in 7. meseci,16
2010,Belgija,25-54,moški,med 3. in 7. meseci,13
2010,Belgija,25-54,ženske,med 3. in 7. meseci,12
